ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070279,vitamin B6 binding,10/408,57/18639,0.17543859649122806,8.014705882352942,7.934602157196518,3.9017990655854284e-7,1.1841111946863604e-5,8.678601125283838e-6,ABAT/PNPO/SHMT1/KYAT3/OAT/KYNU/PSAT1/CTH/SCLY/SGPL1,10
GO:1901681,sulfur compound binding,21/408,275/18639,0.07636363636363637,3.488582887700535,6.2195548905274425,7.738250469074514e-7,2.2505411780891712e-5,1.6494691789343046e-5,GNMT/LPL/CXCL8/MOCS1/CXCL10/LANCL1/PCCA/MCCC1/DHTKD1/PAFAH1B1/TKT/SOAT1/ACACB/OGDH/CTSG/ENPP1/DBT/TPMT/CEL/VEGFA/AOC1,21
GO:0016879,"ligase activity, forming carbon-nitrogen bonds",9/408,48/18639,0.1875,8.565716911764707,7.851340639260922,8.323059951048961e-7,2.32379833833287e-5,1.7031608994567564e-5,NADSYN1/CTPS1/MTHFD1/MCCC1/CARNS1/GLUL/GMPS/MTHFD1L/TPGS1,9
GO:0042578,phosphoric ester hydrolase activity,24/408,363/18639,0.06611570247933884,3.0204180845892075,5.815385037617629,1.6946813420973172e-6,4.549567603015106e-5,3.3344742196732646e-5,PLPP1/INPP5B/PLCD3/PIP4P2/MTM1/FBP1/SGPP2/PHOSPHO2/IMPA1/INPP5A/INPP1/PTEN/INPP4A/PFKFB1/NANP/GDPD1/PDE10A/ENPP1/HDDC2/HDDC3/PRUNE1/PDE7B/PIKFYVE/PPP3CA,24
GO:0050660,flavin adenine dinucleotide binding,11/408,86/18639,0.12790697674418605,5.843279753761969,6.734513040308361,2.7111409900184903e-6,7.008801522344097e-5,5.136898717929772e-5,ACAD8/DLD/ACADS/ACOX1/DPYD/TXNRD2/KMO/IVD/LDHD/ACADM/PPOX,11
GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,23/408,349/18639,0.0659025787965616,3.0106817798752736,5.672489399443622,2.946987833916952e-6,7.346419671692972e-5,5.3843461927956354e-5,SMAD2/CTNNB1/PPARGC1A/NFATC1/STAT3/ATF4/HIF1A/TP53/PPARA/FOS/GATA3/FBP1/JUN/PPARG/NFE2L2/SP1/NR4A2/MAPK14/CEBPA/SPI1/EPAS1/LEF1/PRKCB,23
GO:0052745,inositol phosphate phosphatase activity,6/408,20/18639,0.3,13.70514705882353,8.504347696936318,3.1687792349930207e-6,7.494555113386134e-5,5.492917787823347e-5,INPP5B/IMPA1/INPP5A/INPP1/PTEN/INPP4A,6
GO:0030170,pyridoxal phosphate binding,9/408,56/18639,0.16071428571428573,7.342043067226891,7.1103303153616215,3.22115549285937e-6,7.494555113386134e-5,5.492917787823347e-5,ABAT/PNPO/SHMT1/KYAT3/OAT/KYNU/PSAT1/CTH/SGPL1,9
GO:0008375,acetylglucosaminyltransferase activity,8/408,43/18639,0.18604651162790697,8.499316005471956,7.364963569950221,3.6483492736276537e-6,8.196255871127143e-5,6.0072090987298937e-5,B4GAT1/EXT1/EXTL2/GCNT2/POMGNT1/HEXA/GCNT1/B3GNT5,8
GO:0140297,DNA-binding transcription factor binding,28/408,488/18639,0.05737704918032787,2.6212029893924784,5.429020958086117,3.7575958148433895e-6,8.196255871127143e-5,6.0072090987298937e-5,SMAD2/CTNNB1/PPARGC1A/SIRT2/NFATC1/RUNX1/STAT3/ATF4/HIF1A/STAT5A/TP53/PPARA/FOS/GATA3/FBP1/JUN/BCL2/PPARG/NFE2L2/SP1/NR4A2/MAPK14/CEBPA/MYC/SPI1/EPAS1/LEF1/PRKCB,28
